    1   3  2.2244  0.7190
    2   3  2.0882  0.1201
    3   3  2.3001  0.4096
    4   3  6.7037  0.2798
    5   3  3.1007  0.9756
    6   3  3.6341  0.0664
    7   3  2.2648  0.1506
    8   3  2.8711  0.9912
    9   3  4.6166  0.8134
   10   3  2.3098  0.2711
   11   3  2.9542  0.0401
   12   3  2.1571  0.7434
   13   4  1.5636  0.7676
   14   4  3.1686  0.2736
   15   4  4.0471  0.2594
   16   4  1.8156  0.1052
   17   4  1.6354  0.4443
   18   4  1.6388  0.3470
   19   4  1.5631  0.4748
   20   4  1.5213  0.4902
   21   4  1.8639  0.8655
   22   4  2.0540  0.2770
   23   4  1.6865  0.3521
   24   4  1.5919  0.6463
   25   5  1.3459  0.7379
   26   5  1.4502  0.2515
   27   5  1.4921  0.3666
   28   5  1.3508  0.1664
   29   5  1.3837  0.9939
   30   5  1.4482  0.8515
   31   5  1.6028  0.2998
   32   5  2.1041  0.5510
   33   5  1.4997  0.9775
   34   5  2.0839  0.0847
   35   5  1.4388  0.1208
   36   5  3.6211  0.3729
   37   6  1.2655  0.2695
   38   6  1.6887  0.7078
   39   6  1.6156  0.2776
   40   6  1.4321  0.8035
   41   6  1.4034  0.7696
   42   6  1.2842  0.2839
   43   6  1.3477  0.8257
   44   6  1.2817  0.6203
   45   6  1.6854  0.1475
   46   6  1.7956  0.7128
   47   6  1.3213  0.6782
   48   6  2.1786  0.2360
   49   7  1.3127  0.8402
   50   7  1.2649  0.5153
   51   7  1.2155  0.3200
   52   7  1.2787  0.4684
   53   7  1.3714  0.5456
   54   7  1.7855  0.0000
   55   7  1.4813  0.4851
   56   7  1.2552  0.6998
   57   7  1.2089  0.7759
   58   7  1.2630  0.2780
   59   7  1.3392  0.6099
   60   7  1.3642  0.4129
   61   8  1.8461  0.2379
   62   8  1.3479  0.5728
   63   8  1.2574  0.7375
   64   8  1.1971  0.8709
   65   8  1.1941  0.5417
   66   8  1.1830  0.5800
   67   8  1.2439  0.6213
   68   8  1.7226  0.7917
   69   8  1.1845  0.8273
   70   8  1.1809  0.0142
   71   8  1.3181  0.3753
   72   8  1.4193  0.6143
   73   9  1.3226  0.6988
   74   9  1.1889  0.3152
   75   9  1.1567  0.8027
   76   9  1.1925  0.0266
   77   9  1.1896  0.4828
   78   9  1.1983  0.3510
   79   9  1.4468  0.6884
   80   9  1.1956  0.2687
   81   9  1.2194  0.3547
   82   9  1.5832  0.9741
   83   9  1.1881  0.8510
   84   9  1.2910  0.6309
   85  10  1.3148  0.1644
   86  10  1.2495  0.2278
   87  10  1.1940  0.3558
   88  10  1.1594  0.5784
   89  10  1.2908  0.8090
   90  10  1.4006  0.6802
   91  10  1.1468  0.2771
   92  10  1.1302  0.0977
   93  10  1.4419  0.2056
   94  10  1.3527  0.6792
   95  10  1.3270  0.5932
   96  10  1.2623  0.5848
   97  11  1.1695  0.3989
   98  11  1.1785  0.7672
   99  11  1.1849  0.0023
  100  11  1.1440  0.3437
  101  11  1.2006  0.0279
  102  11  1.1481  0.8321
  103  11  1.5282  0.9800
  104  11  1.1344  0.0821
  105  11  1.4615  0.3526
  106  11  1.1225  0.1837
  107  11  1.1351  0.4059
  108  11  1.1333  0.2132
  109  12  1.3490  0.5061
  110  12  1.1054  0.7675
  111  12  1.2997  0.0795
  112  12  1.1357  0.4767
  113  12  1.1841  0.2360
  114  12  1.2183  0.0592
  115  12  1.1727  0.4552
  116  12  1.1852  0.8177
  117  12  1.1193  0.5268
  118  12  1.1283  0.3642
  119  12  1.1172  0.8071
  120  12  1.2045  0.7826
  121  14  1.1821  0.9898
  122  14  1.1047  0.9970
  123  14  1.1784  0.8562
  124  14  1.0968  0.7972
  125  14  1.1015  0.7285
  126  14  1.0960  0.5038
  127  14  1.1320  0.6739
  128  14  1.2598  0.5621
  129  14  1.0964  0.7458
  130  14  1.4762  0.8001
  131  14  1.1259  0.9447
  132  14  1.2215  0.4136
  133  15  1.1041  0.4222
  134  15  1.1733  0.2529
  135  15  1.1015  0.9668
  136  15  1.3055  0.7053
  137  15  1.2222  0.4249
  138  15  1.1899  0.3977
  139  15  1.2126  0.5973
  140  15  1.1769  0.1020
  141  15  1.0978  0.3196
  142  15  1.1345  0.2399
  143  15  1.1479  0.8189
  144  15  1.0811  0.7328
